CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
7056de128021   consumidor_mongo4   3.54%     33.18MiB / 3.823GiB   0.85%     915kB / 1.02MB    0B / 0B          8
16dcbc09ad82   cliente_atm         0.02%     23.64MiB / 3.823GiB   0.60%     21.2kB / 30.8kB   0B / 0B          1
ff5686d65dba   consumidor_redis3   0.99%     20.63MiB / 3.823GiB   0.53%     668kB / 1.07MB    0B / 0B          2
ef37e428e834   consumidor_redis2   1.49%     19.2MiB / 3.823GiB    0.49%     47.3kB / 50.7kB   0B / 0B          2
bf51a6f6f6dc   sectorizador        0.00%     23.86MiB / 3.823GiB   0.61%     185kB / 187kB     0B / 0B          4
fe7132683f7a   consumidor_redis4   0.58%     20.26MiB / 3.823GiB   0.52%     838kB / 1.32MB    0B / 0B          2
ae4604f656f1   kafka_ui            220.89%   237.2MiB / 3.823GiB   6.06%     2.55kB / 126B     3.45MB / 217kB   34
2a9eaf369eb1   redis               1.17%     11.27MiB / 3.823GiB   0.29%     2.75MB / 581kB    0B / 0B          6
f3357cf3b0c3   mongodb             4.49%     97.02MiB / 3.823GiB   2.48%     1.96MB / 584kB    782kB / 0B       45
63164fef332b   kafka               120.41%   397.5MiB / 3.823GiB   10.16%    1.57MB / 2.7MB    643kB / 238kB    103
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
