CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
a904fd02bd23   mongodb             1.11%     85.16MiB / 3.823GiB   2.18%     25.2kB / 39kB     150MB / 0B       45
ceb0d2ea3b2c   redis               1.29%     9.387MiB / 3.823GiB   0.24%     39.8kB / 21.3kB   16.5MB / 0B      6
7ee7bfcd070a   kafka               178.26%   468.1MiB / 3.823GiB   11.96%    425kB / 312kB     71.2MB / 238kB   144
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
40ee97484aba   productor           210.55%   1.639GiB / 3.823GiB   42.88%    2.42kB / 823B     2.43MB / 0B      2
df9b3263d5c5   consumidor_redis2   22.14%    19.48MiB / 3.823GiB   0.50%     43.4kB / 57.1kB   4.46MB / 0B      2
6e85ac607f95   consumidor_mongo3   42.96%    31.43MiB / 3.823GiB   0.80%     50.2kB / 56.6kB   4.35MB / 0B      14
52327ce982a8   consumidor_redis4   35.07%    19.03MiB / 3.823GiB   0.49%     43kB / 55.9kB     549kB / 0B       2
986f9a8d571d   cliente_atm         6.83%     25.39MiB / 3.823GiB   0.65%     16.8kB / 23.8kB   11MB / 0B        1
c7e7fefd2ff5   consumidor_redis1   1.38%     19.19MiB / 3.823GiB   0.49%     41.7kB / 52.3kB   1.61MB / 0B      2
419d1a66ad25   sectorizador        0.00%     24.57MiB / 3.823GiB   0.63%     15.1kB / 20.1kB   23.9MB / 0B      4
287dc782ef1b   consumidor_redis3   3.95%     18.97MiB / 3.823GiB   0.48%     44.3kB / 57.1kB   36.9kB / 0B      2
b46a6a7a11f6   consumidor_mongo2   3.30%     29.75MiB / 3.823GiB   0.76%     50.7kB / 57.4kB   5.43MB / 0B      8
5efedfa0f876   consumidor_mongo4   9.78%     29.86MiB / 3.823GiB   0.76%     50.7kB / 57kB     4.49MB / 0B      8
82a1fb9fe702   consumidor_mongo1   19.60%    29.9MiB / 3.823GiB    0.76%     52.3kB / 59.3kB   5.52MB / 0B      8
753b27d990ef   cliente_historico   0.10%     26.62MiB / 3.823GiB   0.68%     12.8kB / 5.03kB   7.18MB / 0B      4
530f4ddb2be4   kafka_ui            146.15%   152.4MiB / 3.823GiB   3.89%     2.34kB / 126B     70.4MB / 115kB   22
a904fd02bd23   mongodb             7.24%     86.7MiB / 3.823GiB    2.21%     26.5kB / 42.5kB   150MB / 0B       45
ceb0d2ea3b2c   redis               81.36%    14.54MiB / 3.823GiB   0.37%     41.6kB / 22.3kB   16.5MB / 0B      8
7ee7bfcd070a   kafka               99.02%    490.3MiB / 3.823GiB   12.53%    436kB / 323kB     71.2MB / 238kB   148
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
40ee97484aba   productor           121.26%   1.288GiB / 3.823GiB   33.68%    2.42kB / 823B     2.43MB / 0B      2
df9b3263d5c5   consumidor_redis2   0.81%     19.49MiB / 3.823GiB   0.50%     45.9kB / 59.5kB   4.46MB / 0B      2
6e85ac607f95   consumidor_mongo3   0.74%     30.02MiB / 3.823GiB   0.77%     52.9kB / 58.8kB   4.35MB / 0B      8
52327ce982a8   consumidor_redis4   1.19%     19.03MiB / 3.823GiB   0.49%     45.3kB / 58kB     549kB / 0B       2
986f9a8d571d   cliente_atm         0.10%     25.4MiB / 3.823GiB    0.65%     18kB / 26.2kB     11MB / 0B        1
c7e7fefd2ff5   consumidor_redis1   1.19%     19.2MiB / 3.823GiB    0.49%     44.2kB / 54.6kB   1.61MB / 0B      2
419d1a66ad25   sectorizador        0.00%     24.57MiB / 3.823GiB   0.63%     16.1kB / 21.7kB   23.9MB / 0B      4
287dc782ef1b   consumidor_redis3   0.47%     18.97MiB / 3.823GiB   0.48%     46.2kB / 58.8kB   36.9kB / 0B      2
b46a6a7a11f6   consumidor_mongo2   0.58%     29.75MiB / 3.823GiB   0.76%     53.4kB / 59.6kB   5.43MB / 0B      8
5efedfa0f876   consumidor_mongo4   1.40%     29.86MiB / 3.823GiB   0.76%     52.7kB / 58.7kB   4.49MB / 0B      8
82a1fb9fe702   consumidor_mongo1   2.64%     29.89MiB / 3.823GiB   0.76%     54.9kB / 61.3kB   5.52MB / 0B      8
753b27d990ef   cliente_historico   0.90%     26.62MiB / 3.823GiB   0.68%     13.2kB / 5.21kB   7.18MB / 0B      4
530f4ddb2be4   kafka_ui            129.09%   208.6MiB / 3.823GiB   5.33%     2.34kB / 126B     71.6MB / 115kB   23
a904fd02bd23   mongodb             129.88%   112.1MiB / 3.823GiB   2.86%     27.1kB / 44.8kB   150MB / 0B       52
ceb0d2ea3b2c   redis               5.44%     9.406MiB / 3.823GiB   0.24%     44.7kB / 24kB     16.5MB / 0B      6
7ee7bfcd070a   kafka               185.28%   521.5MiB / 3.823GiB   13.32%    453kB / 341kB     71.6MB / 238kB   157
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
